DE,RO,EN
jeden,fiecare,every
dad,tata,dad
gab,a dat,gave
uhr,Ceas,Clock
stadt,oraș,city
männer,Bărbați,Men
baby,copil,infant
fahren,conduce,drive
namen,Nume,name
bekommen,a obține,to get
kopf,cap,head
hi,Salut,Hi
gehe,merge,go
kleine,mic,small
später,mai tarziu,later
glück,fericire,happiness
letzte,ultimul,last
freunde,prieteni,friends
n,n.,n
all,Alles.,Alles
darauf,pe aici,thereon
ende,Sfârșit,end
dr.,Dr.,Dr.
bald,curând,soon
töten,ucide,kill
dinge,lucruri,things
meinst,Rău,mean
toll,Grozav,Great
eins,unu,one
minuten,minut,minute
vielen,mulți,many
bereit,gata,ready
weit,departe,far
ahnung,idee,idea
seiner,a lui,his
bisschen,puțin,little
tür,uşă,door
auto,auto,automobile
jungs,baieti,guys
eure,ta,your
augen,ochi,eyes
polizei,politie,police
stehen,stand,stand
sterben,a muri,to die
hätten,avea,have
draußen,in afara,outside
kenne,Știi,know
fast,aproape,nearly
runter,jos,down
vorbei,trecut,past
treffen,întâlnire,meeting
gerne,bucuros,gladly
dran,randul tau,your turn
wurden,a devenit,became
arbeiten,muncă,work
mom,Mamă,Mom
verrückt,nebun,crazy
neue,nou,new
ging,a mers,went
hinter,In spate,Behind
sorgen,"asigurați-vă, îngrijirii","ensure, to care"
einzige,numai,only
jemanden,cineva,someone
darum,prin urmare,therefore
tochter,fiica,daughter
braucht,are nevoie,needs
idee,idee,idea
schwester,Sora,sister
drin,în ea,in it
ruhig,Liniște,quiet
sah,a văzut,saw
ganzen,întreg,entire
spät,târziu,late
ziemlich,destul de mult.,pretty much
solltest,Ward.,ward
name,Nume de familie,Surname
sogar,chiar,even
kurz,mic de statura,short
kerl,Tip,Guy
frauen,femei,women
liegt,situat,located
suchen,căutare,search
finde,găsi,find
je,vreodată,ever
woher,de unde,where from
lang,lung,long
job,loc de munca,job
keiner,nici unul,none
seinem,a lui,his
hört,auz,hearing
verstehen,a întelege,to understand
spielen,Joaca,play
s.,S.,S.
überhaupt,deloc,at all
teufel,Diavol,Devil
verstanden,Recepționat,Roger that
verloren,pierdut,lost
große,mărimea,size
hand,mână,hand
grund,sol,ground
jahr,an,year
kommst,Veniți,come
mama,mumie,mummy
ruhe,Liniște,Quiet
gewesen,a fost,been
tod,moarte,death
stunden,Ores.,hours
hoffe,speranţă,hope
denkst,gândi,think
oben,de mai sus,above
gestern,ieri,yesterday
versuchen,a încerca,to attempt
art,drăguț,kind
letzten,ultimul,last
schatz,Dragă,Darling
endlich,în sfârșit,at last
he,cap,head
nimm,lua,take
etwa,despre,about
erzählt,a spus,told
läuft,alergare,running
schwer,greu,heavy
anders,diferit,different
miss,dor,miss
musste,a trebuit sa,had to
fünf,cinci,five
wasser,apă,water
lässt,frunze,leaves
erste,primul,first
versucht,încearcă,tries
gekommen,a venit,came
geschichte,poveste,story
wenig,puțin,little
holen,Fetch.,fetch
bedeutet,mijloace,means
nett,drăguț,kind
wahrheit,adevăr,truth
woche,săptămână,week
bringt,aduce,brings
deshalb,din acest motiv,for this reason
welche,Care,Which
bestimmt,categoric,definitely
hoch,înalt,high
alter,vechi,old
sagst,spune,tell
schau,spectacol,show
ah,Ah,Ah
land,țară,country
zimmer,cameră,room
wagen,mașină,car
vier,patru ani,four
gefallen,Vă rog,please
spaß,distracţie,fun
niemals,În nici un caz,No way
schuld,vina,blame
getötet,ucis,killed
wollten,am vrut sa,wanted to
verlassen,Plecarea,leaving
zeigen,spectacol,show
beste,Cel mai bun,best
ernst,serios,serious
unserer,al nostru,our
denen,lor,to them
ort,Locație,location
bleibt,rămâne,remains
würdest,gând,thought
manchmal,uneori,sometimes
glaubst,cred,believe
seite,pagină,page
lasst,frunze,leaves
zwischen,între,between
eben,chiar,even
während,in timp ce,while
spiel,joc,game
nehme,lua,take
ersten,primul,first
guter,bunuri,goods
chance,şansă,chance
freundin,Prieteni,friend
krieg,război,war
gefällt,ca,like
kleinen,mic,small
erzählen,spune,tell
anderes,alte,other
tage,zi,day
entschuldigen,scuza,apologize
wichtig,important,important
gehst,merge,go
allen,toate,all
bett,pat,bed
mrs.,DOAMNA.,MRS.
sachen,lucruri,things
the,În,The
schlecht,rău,bad
schule,şcoală,school
entschuldigung,Scuzați-mă,Excuse me
wort,cuvânt,word
john,Ioan,John
hättest,a avut,had
wären,fi,be
typ,Tip,Type
schlafen,dormi,sleep
äh,Ah,Ah
tu,tu.,tu
euer,ta,your
captain,căpitan,captain
gesicht,față,face
falls,dacă,if
neuen,nou,new
bloß,doar,just
unten,de mai jos,below
teil,parte,part
beiden,ambii,both
mensch,uman,human
kleiner,mai mic,smaller
stellen,a pune,put
oft,de multe ori,often
sorge,îngrijorări,worries
gedacht,gând,thought
tust,tu.,tu
trinken,băutură,drink
einige,niste,some
dies,acest,this
ding,lucru,thing
unseren,Al nostru,Our
kriegen,Obține,Obtain
blut,sânge,blood
ehrlich,sincer,honest
eltern,părinţi,parents
scheint,pare,seems
herz,Inima,heart
jack,Jack,Jack
glücklich,fericit,happy
alte,vechi,old
alt,vechi,old
bleib,stau,stay
wiedersehen,reuniune,reunion
frei,gratuit,free
wen,pe cine,whom
drauf,pe el,on it
möglich,posibil,possible
irgendwie,oarecum,somehow
reicht,Sunt suficiente,suffices
fest,fix,fixed
besten,Cel mai bun,best
waffe,armă,weapon
kaum,de abia,barely
irgendwas,orice,anything
klingt,sunet,sound
platz,loc,place
brauchst,nevoie,need
rede,vorbire,speech
papa,Tată,father
falsch,nu este corect,not correct
sondern,dar,but
alten,vechi,old
nummer,număr,number
früher,mai devreme,earlier
jungen,Băieți,boys
wohin,Unde,where
außer,cu exceptia,except
früh,din timp,early
setzen,a stabilit,set
zuerst,primul,first
wahrscheinlich,probabil,probably
dürfen,Mai,may
jede,fiecare,every
arsch,cur,ass
telefon,telefon,phone
tue,do,do
kennst,Știi,know
willkommen,Bine ati venit,welcome
plan,plan,plan
großen,imens,huge
retten,salvare,rescue
hierher,Aici,here
wär,va fi,would be
bring,aduce,bring
fehler,eroare,error
wollt,vrei,want
dollar,dolar,dollar
zehn,zece,ten
allem,toate,all
pass,pașaport,passport
nächste,Următorul,next
stunde,lecţie,lesson
hände,mâini,hands
gegeben,dat,given
menge,mulțime,crowd
langsam,încet,slow
bereits,deja,already
wartet,aștepta,wait
sechs,şase,six
lieben,dragoste,love
meines,A mea,mine
büro,birou,office
nächsten,Următorul,next
gebe,dăruire,giving
wochen,săptămânal,weekly
ruf,apel,call
schaffen,crea,create
leider,din pacate,Unfortunately
scheiß,rahat,shit
hölle,iad,hell
trotzdem,în ciuda acestui,despite this
doktor,doctor,doctor
tja,bine,well
new,Nou,New
voll,in totalitate,fully
film,Film,Movie
überall,peste tot,all over
hund,câine,dog
geworden,deveni,become
direkt,direct,direct
wolltest,Wanted.,wanted
tat,făcut,did
denkt,Bună,thinks
schiff,navă,ship
neues,nou,new
wem,pe cine,whom
könig,rege,king
danach,după care,after that
funktioniert,muncește,is working
hattest,a avut,had
lernen,a invata,to learn
deswegen,din acest motiv,because of this
wow,Wow,Wow
nennen,a numi,to name
hm,Hm.,Hm
feuer,Foc,Fire
laufen,a alerga,to run
alleine,singur,alone
erinnern,tine minte,remember
völlig,in totalitate,fully
kleines,mic,small
könnt,poate sa,can
stelle,Loc de munca,Job
kumpel,Omule,Dude
verlieren,pierde,lose
probleme,Probleme,problems
spricht,Vorbește,speaks
kaffee,cafea,coffee
luft,aer,air
fand,găsite,found
i,I.,I
entschuldige,Scuzați-mă,Excuse me
ziehen,a desena,draw
verschwinden,dispărea,disappear
könntest,ar putea,could
seht,uite,look
aufhören,Stop,stop
eigenen,proprii,own
richtige,cel corect,right one
unserem,a noastra,ours
suche,căuta,seek
zwar,acesta este,that is
groß,mare,large
hol,Hold.,hold
buch,o carte,a book
krank,bolnav,ill
fühle,simt,feel
jedes,fiecare,each
verstehst,a intelege,understand
wert,in valoare de,worth
arzt,doctor,doctor
froh,vesel,joyful
versuche,încearcă,tries
straße,Stradă,Street
rufen,apel,call
heiraten,căsătorie,marry
super,Grozav,great
sam,Sam.,sam
lebt,vieți,lives
gutes,bun,good
lasse,Laser.,laser
onkel,unchiul,uncle
total,total,total
gebracht,adus,brought
party,parte,party
erklären,a explica,to explain
spielt,Joaca,play
wahl,alegere,choice
vertrauen,încredere,trust
damals,pe atunci,back then
tagen,zile,days
leicht,uşor,easy
nachdem,după,after
gegangen,a mers,went
gefühl,sentiment,feeling
kaufen,a cumpara,to buy
geschafft,făcut,made
typen,tipuri,types
interessiert,Interesat,Interested
möchten,artez,would
halte,Hold.,hold
hält,Hold.,hold
glaub,contrazice,belie
irgendwo,undeva,somewhere
stück,bucată,piece
genauso,pur si simplu,just like that
kennt,Știe,knows
genommen,Luat,taken
zukunft,viitor,future
weniger,mai putine,fewer
cool,rece,cool
licht,ușoară,light
getroffen,întâlnit,met
himmel,cer,heaven
nachricht,știri,news
drüben,acolo,over there
passt,se potrivește,fits
sagten,a spus,told
kümmern,A avea grija de,To take care of
laut,conform,according to
vergiss,a uita,forget
angerufen,numit,called
sitzen,sta,sit
daß,acea,that
erde,Pământ,Earth
großer,mai mare,greater
schlüssel,cheie,key
rest,odihnă,rest
passieren,întâmpla,happen
eher,mai degraba,rather
gefragt,întrebă,asked
gefängnis,închisoare,prison
opfer,victimă,victim
körper,corp,body
solche,astfel de,such
mist,La naiba,damn
mr,Domnul,mr
findet,găsi,find
schreiben,a scrie,to write
böse,rău,evil
gesprochen,vorbit,spoken
versuch,"atentat, încercare",attempt
vorstellen,introduce,introduce
wovon,Despre ce,About what
sobald,cât de curând,as soon
nochmal,din nou,once again
herren,a bărbaților,Men's
sex,sex,sex
waffen,arme,weapons
wohnung,apartament,apartment
weh,inflamat,sore
heißen,Rău,mean
krankenhaus,spital,hospital
bringe,aduce,bring
höre,auzi,hear
millionen,Milioane de ani,millions
klasse,clasă,class
hart,greu,hard
worden,a fost,has been
sinn,sens,sense
außerdem,În afară de asta,Besides that
verletzt,rănit,injured
ändern,a schimba,to change
erfahren,Cu experienta,Experienced
tragen,transporta,carry
wenigstens,macar,at least
vorsichtig,cu grija,carefully
daddy,tata,daddy
stolz,cu mândrie,proudly
stark,puternic,strong
fällt,toamna,fall
möchtest,vrei,want
leuten,oameni,people
besonders,în special,especially
schöne,minunat,lovely
schicken,trimite,send
person,persoană,person
schätze,comorile,treasures
solange,atât cât,so long
länger,mai lung,longer
großartig,Grozav,Great
lacht,a rade,laugh
anrufen,suna,call up
stand,statea,was standing
redest,vorbi,talk
fühlen,simt,feel
erwartet,așteptat,expected
boden,podea,floor
boss,șeful,boss
stimme,voce,voice
glaubt,cred,believe
still,Liniște,quiet
sicherheit,Siguranță,safety
setz,ședinței,sitting
ma,ma.,ma
mund,gură,mouth
kämpfen,luptă,battle
wisst,Scopul,scoff
lachen,a rade,laugh
hörst,auzi,hear
zeug,lucruri,things
lustig,distracţie,fun
umbringen,ucide,kill
sollst,mai scurt,shorter
hasse,ură,hate
schlimm,teribil,terrible
o,O.,O
unglaublich,necrezut,unbelievable
wärst,fi,be
laden,sarcină,load
führen,a conduce,to lead
gestorben,decedat,died
schauen,uite,look
meinung,opinie,opinion
lesen,citit,read
mörder,criminal,murderer
frank,sincer,frank
ähm,Um.,um
geschehen,întâmpla,happen
geschäft,magazin,shop
idiot,idiot,idiot
verzeihung,iertare,forgiveness
fliegen,a zbura,to fly
zeig,spectacol,show
team,echipă,team
general,general,general
mike,Mike.,mike
aufs,pe,onto
york,York.,York
vorher,inainte de,before
schluss,Suficient,Enough
schneller,mai repede,more quickly
liebt,iubitor,loving
verdient,meritat,deserved
mögen,ca,like
meisten,cel mai,most
denk,gândi,think
umgebracht,ucis,killed
perfekt,Perfect,Perfect
versprochen,promis,promised
handy,mobil,mobile
hinten,spate,rear
monate,luni,months
erinnere,amintiri,recall
acht,opt,eight
arbeitet,muncește,is working
fallen,toamna,fall
rufe,apel,call
nötig,necesar,necessary
a,A,a
mord,crimă,murder
heraus,Out.,out
tages,zi,day
unmöglich,imposibil,impossible
liebling,Dragă,Darling
charlie,Charlie.,Charlie
tatsächlich,într-adevăr,indeed
folgen,Urma,Follow
bitten,cerere,request
behalten,a păstra,to keep
nähe,apropiere,vicinity
arbeite,muncă,work
joe,Joe.,joe
verdammte,La naiba,damn
plötzlich,brusc,suddenly
lebens,viaţă,life
hole,merge,go
tisch,masa,table
michael,Michael.,Michael
hörte,auzit,heard
jemals,vreodată,ever
liegen,minciună,lie
verkaufen,a vinde,to sell
gefährlich,periculos,dangerous
anfangen,începe,begin
bekommt,primește,receives
machte,deranja,bother
ha,Ha,Ha
hotel,hotel,hotel
hilft,Ajutor,help
werdet,deveni,become
meister,maestru,master
kampf,luptă,battle
antwort,răspuns,reply
konnten,ar putea,could
geschickt,trimis,sent
jedem,fiecare,each
obwohl,cu toate că,although
sieben,Șapte,seven
komisch,Ciudat,Strange
gewinnen,A castiga,to win
ihres,A ta,Yours
bezahlt,plătit,paid
you,tu,you
voller,Plin de,full of
unterwegs,Pe drum,On the way
dumm,prost,stupid
ärger,probleme,trouble
bild,imagine,image
george,George,George
neu,Nou,New
bezahlen,a plati,pay
dagegen,pe de altă parte,on the other hand
seien,fi,be
starb,decedat,died
tom,Tom,Tom
monaten,lunar,monthly
leiche,cadavru,corpse
niemanden,nici unul,no one
auge,ochi,eye
arschloch,Idiotule,asshole
verheiratet,căsătorit,married
peter,Petru,Peter
zieh,Trage,pull
nimmt,ia în considerare,takes
gerettet,salvat,saved
agent,agent,agent
traum,vis,dream
entscheidung,decizie,decision
schlimmer,mai rea,worse
regeln,Reguli,rules
fenster,fereastră,window
fangen,captură,catch
fort,mai departe,forth
ständig,constant,constant
findest,găsi,find
gefahr,Pericol,danger
absolut,absolut,absolutely
mary,Maria,Mary
augenblick,moment,moment
bescheid,înștiințare,notice
rum,rom,rum
gedanken,gânduri,thoughts
werd,fi,be
ziel,scop,aim
benutzt,folosit,used
bewegung,Mișcare,Move
jemandem,cineva,someone
wünschte,A dorit,wished
worte,cuvinte,words
kamen,a venit,came
welcher,care,which one
zahlen,Numere,numbers
anfang,început,beginning
legen,stau,lay
erinnerst,tine minte,remember
anwalt,avocat,attorney
fahr,conducere,driving
sitzt,ședinței,sitting
hilf,Ajutor,help
offen,deschis la minte,open minded
schönen,briză,breeze
monsieur,muson,monsoon
müsste,ar putea,might
arme,săraci,poor
bier,bere,beer
fürs,pentru,for
partner,partener,partner
klein,mic,small
david,David.,David
klappe,clapetă,flap
süß,Dulce,Sweet
herum,aici,hereabouts
finger,deget,finger
ehe,căsătorie,marriage
rolle,rol,role
ließ,pas,pitch
gleiche,la fel,same
monat,lună,month
hochzeit,nuntă,wedding
max,Max.,Max
führt,Oportunitati,leads
paris,Paris,Paris
wach,treaz,awake
wozu,pentru ce motiv,for what reason
arm,săraci,poor
geschrieben,scris,written
chef,șeful,boss
benutzen,utilizare,use
informationen,informație,information
erledigt,efectuat,completed
hoffentlich,in speranta,hopefully
müsst,trebuie sa,must
fühlt,simte,feels
tanzen,a dansa,to dance
ansehen,uita-te la,look at
darfst,poate sa,can
zuhause,acasa,at home
wunderbar,Minunat,Marvelous
hältst,Hold.,hold
reise,excursie,trip
gewonnen,castigat,won
dame,doamnă,lady
irgendwann,Cândva,Sometime
chffffff,Chffffff.,Chffffff
alex,Alex.,Alex
steckt,conectat,plugged
jedenfalls,in orice caz,in any case
schreit,strigăt,cries
tolle,Grozav,great
rüber,peste,over
tschüss,pa,bye
nennt,numele,names
raum,spaţiu,space
heiß,Fierbinte,hot
foto,fotografie,photo
kalt,rece,cold
paul,Paul,paul
irgendetwas,orice,anything
weile,in timp ce,while
bisher,până acum,until now
minute,minut,minute
unbedingt,neapărat,necessarily
zug,tren,train
sekunden,secunde,seconds
wofür,Pentru ce,for what
erzähl,îngust,narrow
nen,nouă,nine
beweise,dovezi,proofs
nahm,a luat,took
aller,toate,all
freut,este fericit,is happy
seele,suflet,soul
schießen,trage,shoot
müde,obosit,tired
dauert,lua,take
magst,ca,like
harry,Harry.,Harry
brief,scrisoare,letter
gelernt,învățat,learned
sucht,caută,seeks
bekannt,cunoscut,known
weitere,Mai departe,Further
unfall,accident,accident
dahin,Acolo,there
kontrolle,Control,control
beispiel,exemplu,example
lady,doamnă,lady
dasselbe,același lucru,the same thing
herzen,Inima,heart
schlagen,lovit,hit
wütend,furios,furious
weise,înţelept,wise
damen,doamnelor,ladies
darin,in acest,in this
gottes,Dumnezeu,God
holt,obține,get
fehlt,lipseste,is missing
vorsicht,prudență,caution
heiße,numele este,name is
beweisen,a dovedi,to prove
gehabt,fals,false
zumindest,macar,at least
vermisst,dispărut,missing
hübsch,frumos,pretty
kriegt,neg,wart
verbindung,conexiune,connection
tief,adâncime,deep
richtung,direcţie,direction
lage,poziţie,position
sowieso,oricum,anyway
kraft,putere,power
normal,normal,normal
lauf,alerga,run
ehre,onora,honor
stell,a stabilit,set
geschenk,cadou,gift
bar,bar,bar
tasche,sac,bag
gelesen,au citit,had read
gekauft,cumparat,bought
wussten,S-au cunoscut,knew
gestohlen,furat,stolen
hunger,foame,hunger
leg,picior,leg
lügen,minciună,lying
beziehung,relaţie,relationship
ben,Ben,ben
verschwunden,a dispărut,disappeared
steh,ridice în picioare,stand up
nächstes,Următorul,next
gearbeitet,a lucrat,worked
preis,Preț,price
witz,glumă,joke
meinte,Rău,mean
liste,listă,list
geist,spirit,spirit
neben,Următorul,Next
gesucht,căutat,searched
firma,companie,company
süße,dulceaţă,sweetness
rücken,mișcare,move
schrecklich,teribil,terrible
letzter,ultimul,last
verliebt,îndrăgostit,in love
öffnen,a deschide,to open
redet,vorbi,talk
boot,barcă,boat
seltsam,ciudat,strange
versteckt,ascuns,hidden
fürchte,frică,fear
verschwinde,dispărea,disappear
erwischt,Prins,Caught
verkauft,vândut,sold
tante,mătuşă,aunt
erwarten,aştepta,expect
pferd,cal,horse
wunder,mirare,wonder
sauer,furios,angry
vermutlich,ar fi,allegedly
näher,mai aproape,closer
major,major,major
jung,tineri,young
majestät,Majestate,majesty
aussehen,uite,look
ans,la,to
de,de.,de
and,și,and
links,Stânga,Left
großes,mare,big
welches,care,which
beschützen,pentru a proteja,to protect
geboren,născut,born
erreichen,a ajunge,reach
punkt,Punct,Point
kindern,copii,children
kirche,biserică,church
verraten,dezvălui,reveal
selber,eu insumi,myself
befehl,comanda,command
colonel,colonel,colonel
fährt,mișcări,moves
zieht,Trage,pull
geburtstag,zi de nastere,birthday
haut,piele,skin
wette,pariu,bet
reich,bogat,rich
sekunde,al doilea,second
fahre,plimbare,ride
schwöre,jura,swear
geredet,a vorbit,talked
james,James,james
madame,doamna,madame
eigene,proprii,own
zeiten,timp,time
traurig,Trist,Sad
anruf,apel telefonic,phone call
nachrichten,Mesaje,Messages
frieden,pace,peace
karte,Hartă,map
güte,calitate,quality
euren,merge,go
diesmal,de data asta,this time
schade,pacat,a pity
persönlich,personal,personally
kriege,războaie,wars
stirbt,moarte,dying
bleibe,stau,stay
verändert,schimbări,changes
sonne,Soare,Sun
lieb,dragă,Dear
nämlich,și anume,namely
letztes,ultimul,last
bekam,a primit,got
ruft,Apeluri,calls
professor,Profesor,professor
gericht,curte,court
nase,nas,nose
ewig,etern,eternal
singen,a cânta,to sing
bank,bancă,Bank
beschäftigt,angajat,employed
computer,calculator,computer
yeah,Da.,yeah
toten,ucide,kill
weihnachten,Crăciun,Christmas
offensichtlich,evident,obviously
naja,Oh bine,Oh well
henry,Henry.,henry
gefühle,sentimente,feelings
fuß,picior,foot
show,spectacol,show
überraschung,surprinde,surprise
geheimnis,secret,secret
fbi,FBI.,FBI
kontakt,a lua legatura,Contact
gold,aur,gold
drogen,droguri,drugs
regierung,guvern,government
wein,Vin,Wine
kriegst,obține,get
ermordet,ucis,murdered
fotos,Fotografii,photos
entfernt,îndepărtat,removed
geschlafen,dormi,sleep
manche,niste,some
erledigen,ai grijă de,take care of
ran,a fugit,ran
gegenüber,opus,opposite to
schlaf,dormi,sleep
lust,dorință,desire
wunderschön,frumos,beautiful
witzig,amuzant,funny
nick,Nick.,nick
zerstört,distrus,destroyed
übrigens,Apropo,by the way
willen,a văzut,saw
heim,Acasă,home
richtigen,dreapta,right
deines,Ta,Your
namens,numit,called
zeigt,indică,indicates
geliebt,iubit,loved
gehören,aparține,belong
brachte,adus,brought
herrn,Domnul,Mr
blick,vedere,view
besuch,vizita,visit
schlechte,rău,bad
bewegen,mișcare,move
haare,păr,hair
antworten,Răspuns,answer
präsident,președinte,president
